GEOID,TractFIPS,poverty_pct,low_edu_pct,single_parent_pct,renter_pct,overcrowded_pct,no_vehicle_pct,nonemployed_u65_pct,MHLTH_CrudePrev,OBESITY_CrudePrev,miss_poverty_pct,miss_low_edu_pct,miss_single_parent_pct,miss_renter_pct,miss_overcrowded_pct,miss_no_vehicle_pct,miss_nonemployed_u65_pct,miss_MHLTH_CrudePrev,miss_OBESITY_CrudePrev
12099990100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12101990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12103990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12103990100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12105980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12107980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12109990100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12109990200,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12111980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12111990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12113990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12115990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12119910900,12119910900,,21.93074501573977,,,,,100.0,15.6,38.1,True,False,True,True,True,True,False,False,False
12119911000,12119911000,0.0,27.647975077881622,,100.0,0.0,0.0,98.1,15.5,32.3,False,False,True,False,False,False,False,False,False
12119980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12123990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12127990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12129990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
12131990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
13029980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
13039990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
13051010605,,,,,,,,,,,True,True,True,True,True,True,True,True,True
13051980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
13051990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
13053020206,13053020206,,0.0,,,,,97.1,20.0,33.3,True,False,True,True,True,True,False,False,False
13063980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
13089023115,13089023115,50.0,31.08839446782922,,,,,100.0,30.5,50.2,False,False,True,True,True,True,False,False,False
13089980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
13121003700,,35.2,35.204081632653065,,100.0,0.0,21.951219512195124,100.0,,,False,False,True,False,False,False,False,True,True
13121006801,13121006801,,23.183856502242154,,,,,100.0,20.2,39.6,True,False,True,True,True,True,False,False,False
13121980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
13127990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
13179990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
13183980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
13191980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
13191990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15001990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15001990100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15001990300,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15001990400,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15001990500,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15001990600,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15001990700,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15001990800,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15001990900,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15001991000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15001991100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15001991200,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15001991300,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15001991400,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15001991500,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15001991600,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15001991700,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15003007303,15003007303,,0.0,,,,,98.9,17.4,20.2,True,False,True,True,True,True,False,False,False
15003980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15003980200,15003980200,,11.41304347826087,,,,,100.0,16.3,33.8,True,False,True,True,True,True,False,False,False
15003980300,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15003980600,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15003980700,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15003980800,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15003981000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15003981100,,,0.0,,,,,100.0,,,True,False,True,True,True,True,False,True,True
15003981200,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15003981300,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15003981400,15003981400,0.0,0.0,,0.0,0.0,0.0,0.0,10.7,31.5,False,False,True,False,False,False,False,False,False
15003990001,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15005990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15007041200,15007041200,,,,,,,,15.9,35.4,True,True,True,True,True,True,True,False,False
15007990100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15007990200,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15007990300,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15009032000,,5.1,2.3285899094437257,9.236947791164658,32.80542986425339,6.334841628959276,3.167420814479638,15.599999999999994,,,False,False,False,False,False,False,False,True,True
15009980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15009990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15009990200,,,,,,,,,,,True,True,True,True,True,True,True,True,True
15009991200,,,,,,,,,,,True,True,True,True,True,True,True,True,True
16061950300,,19.2,11.538461538461538,0.0,0.0,0.0,0.0,80.0,,,False,False,False,False,False,False,False,True,True
17031381700,,,,,,,,,,,True,True,True,True,True,True,True,True,True
17031835700,,0.0,0.0,71.9298245614035,100.0,13.178294573643413,34.883720930232556,71.4,,,False,False,False,False,False,False,False,True,True
17031980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
17031980100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
17031990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
17097863005,17097863005,,0.0,,,,,76.6,19.5,24.0,True,False,True,True,True,True,False,False,False
17097863006,,,,,,,,,,,True,True,True,True,True,True,True,True,True
17097990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
17197980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
17201980000,,100.0,0.0,,100.0,100.0,0.0,0.0,,,False,False,True,False,False,False,False,True,True
18003980001,18003980001,0.0,0.0,,100.0,0.0,100.0,44.4,17.0,21.9,False,False,True,False,False,False,False,False,False
18003980002,18003980002,57.9,0.0,,36.84210526315789,0.0,0.0,100.0,19.5,42.3,False,False,True,False,False,False,False,False,False
18089990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
18091990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
18127980001,,,,,,,,,,,True,True,True,True,True,True,True,True,True
18127980002,,,,,,,,,,,True,True,True,True,True,True,True,True,True
18127990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
18157010400,18157010400,,0.0,,,,,57.3,28.2,24.3,True,False,True,True,True,True,False,False,False
18163980100,,0.0,0.0,0.0,0.0,0.0,0.0,70.5,,,False,False,False,False,False,False,False,True,True
19153011600,,,,,,,,,,,True,True,True,True,True,True,True,True,True
19169000800,19169000800,100.0,0.0,,100.0,0.0,0.0,49.2,31.1,31.3,False,False,True,False,False,False,False,False,False
19193940200,,,,,,,,,,,True,True,True,True,True,True,True,True,True
20091980001,,,,,,,,,,,True,True,True,True,True,True,True,True,True
20091980002,,0.0,0.0,0.0,100.0,0.0,0.0,19.700000000000003,,,False,False,False,False,False,False,False,True,True
20091980003,,,,,,,,,,,True,True,True,True,True,True,True,True,True
20161980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
20209040001,,,,,,,,,,,True,True,True,True,True,True,True,True,True
20209040002,,,,,,,,,,,True,True,True,True,True,True,True,True,True
20209042501,20209042501,,,,,,,,16.8,46.3,True,True,True,True,True,True,True,False,False
20209042502,,,,,,,,,,,True,True,True,True,True,True,True,True,True
20209043804,,,,,,,,,,,True,True,True,True,True,True,True,True,True
20209044602,,,,,,,,,,,True,True,True,True,True,True,True,True,True
20209044603,,,,,,,,,,,True,True,True,True,True,True,True,True,True
21015980100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
21029980100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
21047201503,21047201503,,0.0,,,,,99.4,20.8,25.3,True,False,True,True,True,True,False,False,False
21047980100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
21061980100,,88.3,,,,,,77.9,,,False,True,True,True,True,True,False,True,True
21093980100,21093980100,,3.512396694214876,,,,,87.5,18.4,27.6,True,False,True,True,True,True,False,False,False
21111980100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
21143980100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
21163980100,,0.0,0.0,,100.0,0.0,0.0,,,,False,False,True,False,False,False,True,True,True
21221980100,,100.0,,,,,,100.0,,,False,True,True,True,True,True,False,True,True
21221980200,,,,,,,,,,,True,True,True,True,True,True,True,True,True
22017980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
22019980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
22019980100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
22023990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
22033980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
22045990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
